collection_slug,general_info,stats
onchain-gaias,"{""collection"": ""onchain-gaias"", ""name"": ""onchain gaias"", ""description"": ""handcrafted spatial connections\r\n\r\nhttps://gaias.xyz"", ""image_url"": ""https://i2.seadn.io/base/43c629495c164b3f9bad22d8bb01ef0e/ba7a5bbe484cf46ac9e2a8af58ce86/2bba7a5bbe484cf46ac9e2a8af58ce86.jpeg"", ""banner_image_url"": """", ""owner"": ""0xbd1d9270890e0aabd53630a0bef33a8610f820d1"", ""safelist_status"": ""verified"", ""category"": ""PFPS"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": false, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/onchain-gaias"", ""project_url"": ""https://warpcast.com/~/channel/ogs"", ""wiki_url"": """", ""discord_url"": """", ""telegram_url"": """", ""twitter_username"": ""onchaingaias"", ""instagram_username"": """", ""contracts"": [{""address"": ""0xa449b4f43d9a33fcdcf397b9cc7aa909012709fd"", ""chain"": ""base""}]}","{""total"": {""volume"": 7021.876650594605, ""sales"": 12974, ""num_owners"": 2322, ""market_cap"": 99143.3654068508, ""floor_price"": 0.05197999, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.5412268113607681}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.0569986604800496, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 1, ""sales_diff"": 0, ""average_price"": 0.0569986604800496}, {""interval"": ""seven_day"", ""volume"": 1.401001463184162, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 25, ""sales_diff"": 0, ""average_price"": 0.05604005852736648}, {""interval"": ""thirty_day"", ""volume"": 25.4514151935989, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 251, ""sales_diff"": 0, ""average_price"": 0.10140006053226654}]}"
dxterminal,"{""collection"": ""dxterminal"", ""name"": ""DX Terminal"", ""description"": ""Welcome to Terminal City!\r\n\r\nThis collection is where each of your AI Trader NFT's will appear. Every trader is completely unique, and comes with its own PFP, an ID card that includes all their interesting personal quirks, and the animated sprite form that you'll see them walking around in in-game!\r\n\r\nThe simulation will begin on 5/15/2025, where your traders will compete against one another to earn the very most $WEBCOIN through well-timed trades, coordination, and manipulation. Will your name bear the coveted #1 spot on the leaderboard by the end?"", ""image_url"": ""https://i2.seadn.io/base/8cef6e396e474b7e83666bd3be3e1305/433543db19087de2d0bd4376a1350d/95433543db19087de2d0bd4376a1350d.png"", ""banner_image_url"": """", ""owner"": ""0x398dfff26c11602865e01aed0de7bc61e270f257"", ""safelist_status"": ""verified"", ""category"": ""GAMING"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": false, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/dxterminal"", ""project_url"": ""https://terminal.market"", ""wiki_url"": """", ""discord_url"": """", ""telegram_url"": """", ""twitter_username"": ""DXRGai"", ""instagram_username"": """", ""contracts"": [{""address"": ""0x41dc69132cce31fcbf6755c84538ca268520246f"", ""chain"": ""base""}]}","{""total"": {""volume"": 6741.121937716546, ""sales"": 1521856, ""num_owners"": 6236, ""market_cap"": 20772743.27561742, ""floor_price"": 0.00142, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.004429539941831912}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.11152471768868692, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 73, ""sales_diff"": 0, ""average_price"": 0.001527735858749136}, {""interval"": ""seven_day"", ""volume"": 6.979884846032233, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 3956, ""sales_diff"": 0, ""average_price"": 0.0017643793847402004}, {""interval"": ""thirty_day"", ""volume"": 65.33358508762996, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 31592, ""sales_diff"": 0, ""average_price"": 0.002068042070385856}]}"
basedpunks,"{""collection"": ""basedpunks"", ""name"": ""based punks"", ""description"": ""5,000 collectible characters on base"", ""image_url"": ""https://i2.seadn.io/base/7ba0f3974d3c421698da8c2345de4dc5/7e39e54f4fa53eb78d1747e9470478/857e39e54f4fa53eb78d1747e9470478.png"", ""banner_image_url"": """", ""owner"": ""0x57dae1df8805da85248613062c8b904a65dca7f9"", ""safelist_status"": ""verified"", ""category"": ""PFPS"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": true, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/basedpunks"", ""project_url"": ""https://based.so"", ""wiki_url"": """", ""discord_url"": ""https://discord.gg/D3FWQnNc9N"", ""telegram_url"": """", ""twitter_username"": ""based"", ""instagram_username"": """", ""contracts"": [{""address"": ""0xcb28749c24af4797808364d71d71539bc01e76d4"", ""chain"": ""base""}]}","{""total"": {""volume"": 4640.022457343053, ""sales"": 16567, ""num_owners"": 2524, ""market_cap"": 68512.75552778058, ""floor_price"": 0.06598793, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.2800762031353325}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.34106925512774156, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 4, ""sales_diff"": 0, ""average_price"": 0.08526731378193539}, {""interval"": ""seven_day"", ""volume"": 1.6055404450255566, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 22, ""sales_diff"": 0, ""average_price"": 0.0729791111375253}, {""interval"": ""thirty_day"", ""volume"": 16.265613221229206, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 146, ""sales_diff"": 0, ""average_price"": 0.11140830973444661}]}"
hypio,"{""collection"": ""hypio"", ""name"": ""Wealthy Hypio Babies"", ""description"": ""Wealthy Hypio Babies are a cultural virus born from the Remiliasphere and bridging to the Hyperliquid EVM on launch."", ""image_url"": ""https://i2.seadn.io/base/237de68c940c431384ecc4af1ba4ffd5/71da3b10fb09d867fe70a6fbd601a2/3671da3b10fb09d867fe70a6fbd601a2.png"", ""banner_image_url"": """", ""owner"": ""0xd04cbf14909081041fb20d6e1d57a0e41369eb06"", ""safelist_status"": ""verified"", ""category"": ""PFPS"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": true, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/hypio"", ""project_url"": """", ""wiki_url"": """", ""discord_url"": """", ""telegram_url"": """", ""twitter_username"": ""HypioHL"", ""instagram_username"": """", ""contracts"": [{""address"": ""0x3319197b0d0f8ccd1087f2d2e47a8fb7c0710171"", ""chain"": ""base""}]}","{""total"": {""volume"": 4893.989048718985, ""sales"": 9143, ""num_owners"": 133, ""market_cap"": 9264.303355242711, ""floor_price"": 0.75, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.5352716885835048}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.0, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 0, ""sales_diff"": 0, ""average_price"": 0.0}, {""interval"": ""seven_day"", ""volume"": 1.199226706421784, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 2, ""sales_diff"": 0, ""average_price"": 0.599613353210892}, {""interval"": ""thirty_day"", ""volume"": 6.917825314806743, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 7, ""sales_diff"": 0, ""average_price"": 0.9882607592581062}]}"
oracle-patron-nft,"{""collection"": ""oracle-patron-nft"", ""name"": ""Oracle Patron NFT"", ""description"": ""Oracle Patrons are the visionaries that see a world where unbiased markets are the pillars of truth. They are the Sages who see what a decentralized future can behold. \r\n\r\nThey are the early explorers of the future."", ""image_url"": ""https://i2.seadn.io/base/0xcd3f8969627dfe08d75f9fe2ea6ed26080706c88/98d0e3eb394d8c2e207e1f5273f70a/5798d0e3eb394d8c2e207e1f5273f70a.png"", ""banner_image_url"": """", ""owner"": ""0x763d220ee8946d6c553e1455fe16f111edaddc85"", ""safelist_status"": ""verified"", ""category"": ""MEMBERSHIPS"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": false, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/oracle-patron-nft"", ""project_url"": ""https://truemarkets.org/"", ""wiki_url"": """", ""discord_url"": ""https://discord.gg/truemarkets"", ""telegram_url"": """", ""twitter_username"": ""Truemarketsorg"", ""instagram_username"": """", ""contracts"": [{""address"": ""0xcd3f8969627dfe08d75f9fe2ea6ed26080706c88"", ""chain"": ""base""}]}","{""total"": {""volume"": 2023.8342769046994, ""sales"": 11251, ""num_owners"": 1523, ""market_cap"": 3390792.2265761336, ""floor_price"": 0.005, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.17988039080123538}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.02675042382565069, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 5, ""sales_diff"": 0, ""average_price"": 0.005350084765130138}, {""interval"": ""seven_day"", ""volume"": 0.3066831968793447, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 69, ""sales_diff"": 0, ""average_price"": 0.004444684012744126}, {""interval"": ""thirty_day"", ""volume"": 1.1208966669151073, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 388, ""sales_diff"": 0, ""average_price"": 0.0028889089353482146}]}"
basepaint,"{""collection"": ""basepaint"", ""name"": ""BasePaint"", ""description"": ""Paint Together. Mint Daily."", ""image_url"": ""https://i2.seadn.io/base/ed9460e00d374e718af384b7964d7262/9ca4cd26ea64203f696f42bcdf4bec/bb9ca4cd26ea64203f696f42bcdf4bec.png"", ""banner_image_url"": ""https://i2.seadn.io/base/ed9460e00d374e718af384b7964d7262/6405c8f551adf7d860b9f580a9ef21/286405c8f551adf7d860b9f580a9ef21.png"", ""owner"": ""0x3a6501b70af266f59410f1f8066e263b2e1783ab"", ""safelist_status"": ""verified"", ""category"": ""ART"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": false, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/basepaint"", ""project_url"": ""https://basepaint.xyz/"", ""wiki_url"": """", ""discord_url"": """", ""telegram_url"": """", ""twitter_username"": ""basepaint_xyz"", ""instagram_username"": """", ""contracts"": [{""address"": ""0xba5e05cb26b78eda3a2f8e3b3814726305dcac83"", ""chain"": ""base""}]}","{""total"": {""volume"": 1719.0722149691558, ""sales"": 879844, ""num_owners"": 36144, ""market_cap"": 202197913.022773, ""floor_price"": 0.001127, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.0019538375154790574}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.43946070636554674, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 358, ""sales_diff"": 0, ""average_price"": 0.0012275438725294601}, {""interval"": ""seven_day"", ""volume"": 161.2142070048402, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 124782, ""sales_diff"": 0, ""average_price"": 0.0012919668462185268}, {""interval"": ""thirty_day"", ""volume"": 642.8929868899792, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 477927, ""sales_diff"": 0, ""average_price"": 0.001345169841607566}]}"
swatches-by-jvmi,"{""collection"": ""swatches-by-jvmi"", ""name"": ""swatches by jvmi"", ""description"": ""a collection of interactive canvases exploring color and motion."", ""image_url"": ""https://i2.seadn.io/base/205cf239431f418bbfb2dc4e725cb683/e0794e14fbf7af9c135a9a52452500/7de0794e14fbf7af9c135a9a52452500.gif"", ""banner_image_url"": """", ""owner"": ""0xc4738eae623c5e42cc364a022e69c084729e8f7c"", ""safelist_status"": ""verified"", ""category"": ""ART"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": true, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/swatches-by-jvmi"", ""project_url"": ""https://www.jvmi.art/swatches"", ""wiki_url"": """", ""discord_url"": """", ""telegram_url"": """", ""twitter_username"": ""jvmi_"", ""instagram_username"": """", ""contracts"": [{""address"": ""0x13dc8261fce63499aa25deb512bb1827b411b83b"", ""chain"": ""base""}]}","{""total"": {""volume"": 1718.7129034020459, ""sales"": 20377, ""num_owners"": 3477, ""market_cap"": 2760361.941764492, ""floor_price"": 0.00333498, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.08434572819365195}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.00594101855980678, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 2, ""sales_diff"": 0, ""average_price"": 0.00297050927990339}, {""interval"": ""seven_day"", ""volume"": 0.059165067279403113, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 21, ""sales_diff"": 0, ""average_price"": 0.002817384156162053}, {""interval"": ""thirty_day"", ""volume"": 0.33510912351364325, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 100, ""sales_diff"": 0, ""average_price"": 0.0033510912351364325}]}"
larvva-lads,"{""collection"": ""larvva-lads"", ""name"": ""Larvva Lads"", ""description"": ""Opepen and Larva Lads - the ultimate DNA!"", ""image_url"": ""https://i2.seadn.io/base/b6a1800df4fd468baea352e67ed044dc/554d169aaadd9e92143c5a1bab9a4f/6a554d169aaadd9e92143c5a1bab9a4f.png"", ""banner_image_url"": """", ""owner"": ""0x90f64e01ffae16490aefe03c8ed7dab6c66198c3"", ""safelist_status"": ""verified"", ""category"": ""PFPS"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": true, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/larvva-lads"", ""project_url"": ""https://warpcast.com/~/channel/larvvalads"", ""wiki_url"": """", ""discord_url"": """", ""telegram_url"": """", ""twitter_username"": ""yougogirl_eth"", ""instagram_username"": """", ""contracts"": [{""address"": ""0xf20a43f8396f8e28100d6d454e34483d78094c29"", ""chain"": ""base""}]}","{""total"": {""volume"": 2028.496075326, ""sales"": 483427, ""num_owners"": 4782, ""market_cap"": 11592785.878119607, ""floor_price"": 0.00162778, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.004196075261261783}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.02109121580866295, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 14, ""sales_diff"": 0, ""average_price"": 0.0015065154149044963}, {""interval"": ""seven_day"", ""volume"": 0.4905664660583257, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 298, ""sales_diff"": 0, ""average_price"": 0.0016461961948265964}, {""interval"": ""thirty_day"", ""volume"": 2.4155479544568816, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 1175, ""sales_diff"": 0, ""average_price"": 0.0020557854931547927}]}"
kemonokaki,"{""collection"": ""kemonokaki"", ""name"": ""Kemonokaki"", ""description"": ""Kemonokaki is a hand-drawn pfp collection inspired by kemonomimi & neo-chibi aesthetics. ヽ( ᵔᴥᵔ )ノ"", ""image_url"": ""https://i2.seadn.io/base/1acbbe9a35bb431593f07991323e71c2/9b7dcf5895c3dcdde0a5346a7393cc/3c9b7dcf5895c3dcdde0a5346a7393cc.png"", ""banner_image_url"": """", ""owner"": ""0x3db78767fc98de7ef7fa5ea18c5acaf17fcfc51c"", ""safelist_status"": ""verified"", ""category"": ""PFPS"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": true, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/kemonokaki"", ""project_url"": ""https://www.kemonokaki.net/"", ""wiki_url"": """", ""discord_url"": """", ""telegram_url"": """", ""twitter_username"": ""kemonokaki"", ""instagram_username"": """", ""contracts"": [{""address"": ""0xee7d1b184be8185adc7052635329152a4d0cdefa"", ""chain"": ""base""}]}","{""total"": {""volume"": 1600.8639182253107, ""sales"": 17725, ""num_owners"": 3520, ""market_cap"": 345450.0879554307, ""floor_price"": 0.02872448, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.09031672317209087}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.42830367756346704, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 16, ""sales_diff"": 0, ""average_price"": 0.02676897984771669}, {""interval"": ""seven_day"", ""volume"": 2.2289761295395705, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 77, ""sales_diff"": 0, ""average_price"": 0.028947741942072343}, {""interval"": ""thirty_day"", ""volume"": 12.102513988931234, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 347, ""sales_diff"": 0, ""average_price"": 0.034877561927755714}]}"
farworld-creatures,"{""collection"": ""farworld-creatures"", ""name"": ""FARWORLD // Creatures"", ""description"": ""A Mysterious World 🪐 Filled With Mysterious Farmon 👾 // Packs & Items @ https://opensea.io/collection/farworld\n\nWebsite: https://www.farworld.gg\nWarpcast Channel: https://warpcast.com/~/channel/farworld"", ""image_url"": ""https://i2.seadn.io/base/f04c4910218743b6be5926911e3b59db/4ed6dd289a6ab8c971941096467637/244ed6dd289a6ab8c971941096467637.gif"", ""banner_image_url"": """", ""owner"": ""0xcaec34f63b7b75505dd991867cbb79512e1c58da"", ""safelist_status"": ""verified"", ""category"": ""GAMING"", ""is_disabled"": false, ""is_nsfw"": false, ""trait_offers_enabled"": true, ""collection_offers_enabled"": true, ""opensea_url"": ""https://opensea.io/collection/farworld-creatures"", ""project_url"": ""https://farworld.gg"", ""wiki_url"": """", ""discord_url"": ""https://discord.gg/a3bgdr4RC6"", ""telegram_url"": """", ""twitter_username"": ""PlayFarworld"", ""instagram_username"": """", ""contracts"": [{""address"": ""0xde7c3435c34ddee79234adf612467727e980400d"", ""chain"": ""base""}]}","{""total"": {""volume"": 1136.6329434094741, ""sales"": 266207, ""num_owners"": 3196, ""market_cap"": 13119273.772427639, ""floor_price"": 0.0014, ""floor_price_symbol"": ""ETH"", ""average_price"": 0.00426973349089045}, ""intervals"": [{""interval"": ""one_day"", ""volume"": 0.01048497960420498, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 8, ""sales_diff"": 0, ""average_price"": 0.0013106224505256225}, {""interval"": ""seven_day"", ""volume"": 0.42840481092879795, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 284, ""sales_diff"": 0, ""average_price"": 0.0015084676441154857}, {""interval"": ""thirty_day"", ""volume"": 2.8479533240412174, ""volume_diff"": 0.0, ""volume_change"": 0.0, ""sales"": 1850, ""sales_diff"": 0, ""average_price"": 0.001539434229211469}]}"
